A001,A,90,150101
A002,A,90,150101
A003,A,90,150101
A004,A,90,150101
B001,B,45,150101
B002,B,45,150101
B003,B,45,150101
B004,B,45,150101
B005,B,45,150101
B006,B,45,150101
B007,B,45,150101
C001,C,30,150101
C002,C,30,150101
C003,C,30,150101
C004,C,30,150101
C005,C,30,150101
C006,C,30,150101
C007,C,30,150101
C008,C,30,150101
C009,C,30,150101
C010,C,30,150101
A005,A,90,130101
B008,B,45,130101
B009,B,45,130101
B010,B,45,130101
C011,C,30,130101
C012,C,30,130101
C013,C,30,130101
C014,C,30,130101
C015,C,30,130101
C016,C,30,130101
A006,A,90,040101
B011,B,45,040101
B012,B,45,040101
B013,B,45,040101
B014,B,45,040101
B015,B,45,040101
C017,C,30,040101
C018,C,30,040101
C019,C,30,040101
C020,C,30,040101
C021,C,30,040101
C022,C,30,040101
C023,C,30,040101
C024,C,30,040101
